自身免疫性胃炎	胃炎
"多发性骨髓瘤(KAPPA轻链型),D-S分期IIB期,ISS分期III期"	多发性骨髓瘤(轻链к型)##多发性骨髓瘤(ISS分期III期)##多发性骨髓瘤(DS分期II期B组)
急性阑尾炎穿孔伴腹膜炎	急性阑尾炎伴穿孔##急性阑尾炎伴腹膜炎
输尿管结石切开取石术后	输尿管结石##输尿管术后
"肝功能升高，化疗保肝,T淋巴母细胞淋巴瘤,"	肝功能异常##化学治疗##T淋巴母细胞白血病/淋巴瘤
前臂骨间背神经卡压症	骨间背侧神经卡压综合征
胸骨及左侧1-4肋骨折	肋骨多发性骨折伴第一肋骨骨折##胸骨骨折
妊娠37+1周孕2产0LOA胎膜早破	孕37周##胎膜早破
高级别子宫上皮内病变CINIII	子宫颈上皮内瘤变III级[CINIII级]
首诊房颤	心房颤动[心房纤颤]
颞颌关节强硬	颞下颌关节强直
脂肪酶升高原因待查胰腺炎	高脂肪酶血症##胰腺炎
阴蒂黑色素瘤切除术后	恶性黑色素瘤##阴蒂恶性肿瘤
左眼人工晶体眼左眼晶体皮质残留	玻璃体内晶状体皮质残留##人工晶体植入状态
胃窦中低分化腺癌IV期	胃窦恶性肿瘤##腺癌
多脏器功能不全累及肝脏肾脏凝血心肌呼吸	多脏器功能障碍综合征[MODS]
甲状腺双叶滤泡型腺瘤	肾上腺良性肿瘤##滤泡性腺瘤
双侧乳腺增生左侧乳腺实性结节	乳腺增生##乳房结节
侧脑室心房分流术后	脑脊液分流状态
右小指无力待查副肿瘤综合症	副肿瘤综合征
"腰重度疼痛,椎体多发骨破坏,左肺上叶肺癌？,肝转移"	腰痛##骨质破坏##左肺上叶恶性肿瘤##肝继发恶性肿瘤##癌##转移性癌
睡眠呼吸低通气综合征	睡眠低通气综合征
肝，肠MT术后	肝恶性肿瘤##肠道恶性肿瘤
腰骶部软组织劳损	腰椎和骨盆其他和未特指部位的扭伤和劳损
左下下颌骨纤维异样增殖症良性	颌骨纤维异常增殖症
右颌下口底静脉畸形	周围静脉畸形
肺错构瘤	肺错构瘤
"右肾癌肺转移,右肾切除术后,腹腔腹膜转移"	肾恶性肿瘤##肺继发恶性肿瘤##肾术后##腹膜继发恶性肿瘤##腹腔继发恶性肿瘤##癌##转移性癌
膝关节骨关节炎疼痛行动不便	膝骨关节病##膝关节痛
T12L1后缩性骨折	胸椎压缩性骨折##腰椎骨折L1##腰椎压缩性骨折
双跟骨骨折	跟骨骨折
左喉部占位	口腔和咽喉部占位
右肺下叶鳞状细胞癌	右肺下叶恶性肿瘤##鳞状细胞癌
左肺上叶下舌段细支气管扩张并少许纤维灶	支气管扩张症##肺诊断性影像异常
肛管-直肠癌	肛管及直肠恶性肿瘤##癌
胸髓萎缩伴空洞	脊髓萎缩##脊髓空洞症
停经283周发现胎儿心脏继发隔显示不清	妊娠状态
植物神经紊乱中度焦虑轻度抑郁	焦虑状态##抑郁状态##植物神经功能紊乱
右侧额颞叶脑挫裂伤出血	多发性大脑挫裂伤##创伤性颅内出血
甲状腺乳头状腺癌	甲状腺恶性肿瘤##乳头状腺癌
肾透明细胞癌术后	肾恶性肿瘤##透明细胞癌##肾术后
A1B1半脱位A2牙松动	牙脱位
拇趾外翻畸形	足拇外翻
脑缺血脱髓鞘锥体外系	脱髓鞘性脑病##脑血管供血不足
周围神经炎	多发性神经病[多发性神经炎/周围神经炎]
急性胆囊炎并胆囊结石	胆囊结石伴急性胆囊炎
胸11椎体压缩性改变	胸椎压缩性骨折
双手神经病变	多发性神经病[多发性神经炎/周围神经炎]
双眼慢性开角型青光眼	开角型青光眼
肝动脉灌注化疗后	化学治疗
双足副舟骨源性平足症垂直距骨	先天性足副舟骨##扁平足
孕31周贫血	孕31周##妊娠合并贫血
唇及颊部扁平苔藓	扁平苔癣
多发椎体横突骨折	脊柱骨折##多发性骨折
十二指肠乳头符合管状腺瘤	十二指肠良性肿瘤##管状腺瘤
全脊髓放疗后	放射治疗
右手指冻伤伤口换药	冻伤##手指损伤
颅骨巨细胞瘤	骨巨细胞瘤##颅骨良性肿瘤
胃窦隆起型病变憩室可能	胃憩室
左胫前远端恶性黑素瘤T4N0M0IIC期	下肢恶性黑色素瘤##恶性黑色素瘤
继发干燥综合	继发性干燥综合征
胃底胃体癌综合治疗后	胃底及胃体恶性肿瘤##癌
腹膜转移	腹膜继发恶性肿瘤##转移性肿瘤
部分性发作继发全身发作	癫痫部分性发作##癫痫大发作状态
左乳外上不对称致密	乳房未特指的疾患
阵发性房颤伴终止后长RR间歇	阵发性心房颤动##R-R长间歇
子宫绒癌化疗	子宫恶性肿瘤##绒毛膜癌##化学治疗
直肠腺癌根治术后pT2N0M0	直肠术后##直肠恶性肿瘤##腺癌
消化不良(+内脏感觉过敏)	消化不良
十二指肠球降交界符合低级别管状腺瘤早期	十二指肠交界性肿瘤##管状腺瘤
右肾右输尿管全切术后	肾术后##输尿管术后
慢性支气管炎继发感染腰背部疼痛行动不便	慢性支气管炎##感染##腰背痛
双肺间质性肺疾病并肺纤维化	间质性肺病##肺纤维化
左肩多发性脱位	肩胛带关节和韧带脱位、扭伤和劳损
右侧外耳道闭锁2右侧听力障碍	听功能障碍
角膜伤口愈合不良右	开放性损伤愈合不良
双肾输尿管梗阻性病变	梗阻性肾病##输尿管梗阻
肝脏肾上腺占位	肝占位性病变##肾上腺占位
右侧肾盂癌根治术	肾盂恶性肿瘤##癌##肾术后
肝组织内分化腺癌	肝恶性肿瘤##腺癌
右胫骨骨暴露	下肢开放性损伤
小儿急性喉-支气管炎	急性支气管炎##急性喉炎
慢性移植物抗宿主反应病口腔关节皮肤	慢性移植物抗宿主病
口腔黏膜擦伤	口腔和咽喉部损伤
肠病毒性结膜炎	病毒性结膜炎
右足骨关节炎	骨关节病
喉高分化鳞状细胞癌	喉恶性肿瘤##鳞状细胞癌
乳腺恶性肿瘤的支持治疗	乳腺恶性肿瘤##恶性肿瘤支持治疗
右踝距腓前韧带撕脱性骨折前踝软组织撞击症	踝关节撞击综合征##踝骨骨折
慢性乙肝病毒性肝炎（活动期）	慢性乙型病毒性肝炎
双侧基底节区多发陈旧腔梗	基底节脑梗死##腔隙性脑梗死##多发性脑梗死##陈旧性脑梗死
间断性EP发作3次双下肢挛缩	癫痫
面颈部皮下瘀伤	面部损伤##颈部损伤
面部双手多处划伤	面部开放性损伤##手部开放性损伤
左侧肾动脉支架植入术后状态	血管支架植入术后状态
"肠癌肝转移？,肠镜检查,出血倾向"	肠道恶性肿瘤##癌##肝继发恶性肿瘤##转移性癌##出血倾向
"高脂血症,膀胱癌术后"	高脂血症##膀胱术后##膀胱恶性肿瘤##癌
原发性扩张型心肌病，全心扩大，心房纤颤、偶发室性早搏，心功能Ⅲ级	扩张性心肌病[充血性心肌病]##心脏扩大##心房颤动[心房纤颤]##室性期前收缩##心功能III级(NYHA分级)
左上臂开放性犬咬伤	上肢开放性损伤##被狗咬伤
双四肢神经元损伤	上肢神经损伤##下肢神经损伤
左膝关节内侧半月板后角附着点撕脱性骨折	膝关节骨折
乳癌免疫力低下	乳腺恶性肿瘤##癌
子宫颈病变CIN--IIHPV感染	宫颈上皮瘤样病变[CIN]II级##人乳头瘤病毒感染
宫颈低级别病变CINII级	宫颈上皮瘤样病变[CIN]II级
急性移植物抗宿主反应肠道	急性移植物抗宿主病
右耳听力重度障碍左耳听力中度障碍	听功能障碍
右足第1跖骨头撕脱性骨折	跖骨骨折
排便困难原因待查结直肠病变不能排除	排便困难##肛门和直肠未特指的疾病
骨髓增生异常综合征转化为急性白血病	骨髓增生异常综合征
右膝关节盘状半月板撕裂	先天性盘状半月板##膝半月板撕裂
2慢性肾脏疾病CKD3级	"慢性肾脏病,3期"
双肾盂输尿管上段积液	输尿管积水##肾积水
恶性肿瘤的姑息化疗	化学治疗
妊娠40＋1周，孕1产0，单活胎，LOA	孕40周
符合巨幼红细胞性贫血骨髓改变	巨幼红细胞性贫血
躯体化症状肝郁脾虚	躯体化障碍
右颈部低分化癌	颈部恶性肿瘤##癌
结肠肝曲结肠脾区管状腺瘤部分腺体较增生	管状腺瘤##结肠肝曲良性肿瘤##结肠脾曲良性肿瘤
母体前置胎盘新生儿	胎儿和新生儿受前置胎盘的影响
双肾多发囊肿伴部分出血	肾囊肿
双眼闭角型青光急性大发作	闭角型青光眼
"体表肿瘤活检 喉癌术后,复查开药 胃镜检查"	喉术后##喉恶性肿瘤##癌
双卵巢中低分化浆液性乳头状囊腺癌	卵巢恶性肿瘤##乳头状浆液性囊腺癌
皮肤paget病	湿疹样癌[佩吉特病][Paget病]
髋关节疾病待查	髋骨关节病
先天性纤维蛋白原减少症	先天性纤维蛋白原缺乏血症
慢性家族性良性天疱疮	良性慢性家族性天疱疮
肱骨病理性骨折	肱骨骨折##病理性骨折
垂体机能减退综合征Simmond病	腺垂体功能减退症
心肌酶异常原因风湿免疫系统疾病可能性大	心肌酶谱异常##风湿病
右肾缩小右肾弥漫性病变	肾病##肾萎缩
右侧头臂干粥样硬化伴狭窄	动脉粥样硬化##动脉狭窄
学习困难.铅高	学习技能发育障碍##铅中毒
胸腰椎侧弯畸形	脊柱侧弯
面部带状庖疹	带状疱疹
右环指软组织坏死缺损骨外露	手坏死
起搏器囊袋感染清创术后	清创术后##心脏电子装置囊袋感染
左膝内侧滑膜皱综合征	膝关节滑膜皱襞综合征
胃窦中-低分化管状腺癌	胃窦恶性肿瘤##管状腺癌
重症2呼吸窘迫	急性呼吸窘迫综合征
双膝关节骨关节炎	双侧膝关节骨性关节病
绒毛状腺瘤伴癌变	绒毛状腺瘤##腺瘤癌变
多发颅神经炎面神经三叉神经前庭神经	多发性脑神经炎##面神经炎##三叉神经炎##前庭神经炎
双眼小柳原田综合症晚期	Vogt-小柳原田综合征
颅内及颈部动脉多发斑块及狭窄	动脉狭窄##颈动脉狭窄
直肠绒毛管状腺瘤直肠绒毛管状腺瘤	管状绒毛状腺瘤##直肠良性肿瘤
腰大池引流术后	具有脑脊液引流装置
右中指感染异物残留？	手指感染
急性化脓性阑尾炎伴坏疽	急性化脓性阑尾炎##坏疽
脑缺血脱髓鞘右半身僵	脱髓鞘性脑病##脑血管供血不足
眼球内异物	眼球异物
肿瘤特殊筛查CA125TPSA升高	肿瘤标记物升高
膀胱粘膜上皮鳞状化生白斑	膀胱白斑##膀胱鳞状上皮化生
宫颈节育器移位	避孕环移位
结肠绒毛-管状腺瘤伴有局部上皮内瘤变	结肠良性肿瘤##管状腺瘤
右肺尖纤维硬结灶性质待查	肺诊断性影像异常
慢性萎缩性胃窦炎伴糜烂	慢性萎缩性胃炎##糜烂性胃炎
返流食管炎消化性溃疡	反流性食管炎##消化性溃疡
龟头型尿道下裂	"尿道下裂,龟头的"
食管鳞ca 胃食管结合部腺ca	食管恶性肿瘤##鳞状细胞癌##食管胃连接部恶性肿瘤##腺癌
十二指肠降段隆起性病变	胃和十二指肠未特指的疾病
闭合性脑外伤1左侧额顶部硬膜外血肿	创伤性硬脑膜外血肿
腹部手术后乏力	乏力
2型糖尿病眼病	非胰岛素依赖型糖尿病伴有眼的并发症
G2p0孕36+5周待产LoA完全性前置胎盘副胎盘可能	孕36周##中央性前置胎盘##妊娠合并副胎盘
双侧原发性膝关节病	膝关节病
左颊部涎腺粘液囊肿	唾液腺粘液囊肿
右乳乳腺浸润性导管癌	乳腺恶性肿瘤##浸润性导管癌
短暂性全面性遗忘症	短暂性全面遗忘
鼻咽低分化鳞癌伴肝转移	鼻咽恶性肿瘤##鳞状细胞癌##肝继发恶性肿瘤##转移性癌
甲癌复发	甲状腺恶性肿瘤##癌##恶性肿瘤复发
卵巢癌化疗后骨髓抑制	卵巢恶性肿瘤##化疗后骨髓抑制##癌
恶性肿瘤生物靶向治疗	恶性肿瘤生物治疗##恶性肿瘤靶向治疗
双肺磨玻璃灶纤维硬结灶	肺诊断性影像异常
骶尾部皮脂腺瘤	皮脂腺瘤
胆管细胞性肝癌	肝恶性肿瘤##肝胆管细胞癌
胃体癌伴腹腔种植转移化疗后（ⅠV）	胃体恶性肿瘤##癌##腹腔继发恶性肿瘤##化学治疗
双下肢肢体发育不良	先天性发育异常
胃酸返流	反酸
头部蜂蜇伤复诊	蜂螫伤##头部损伤
胎儿盆腔异位肾可能	肾异位
肝肝细胞异型增生胆管增生	肝细胞不典型增生##胆道不典型增生
骨盆尤文肉瘤	尤因肉瘤##骨盆恶性肿瘤
浅表性威严伴糜烂	慢性浅表性胃炎##糜烂性胃炎
左侧肢体乏力待查颈椎病高血压	肢体无力##颈椎病##高血压
左拇指指骨基底部陈旧性撕脱性骨折	拇指骨折
掌跖角皮病恶性黑素瘤	恶性黑色素瘤##掌跖角化
右跟腓韧带止点撕脱性骨折	跟骨骨折
双耳感音神经性聋，耳源性眩晕不能完全除外	感音神经性聋##耳源性眩晕
左下肢针刺伤	"下肢未特指的损伤,水平未特指"
翼状胬肉切除术（单眼）	翼状胬肉##眼术后
左侧气胸41双侧胸部颈部皮下气肿	气胸
1贲门病变套切治疗后	胃和十二指肠未特指的疾病##胃术后
右小腿截肢气血瘀滞经络不畅	截肢
晚孕32单活胎G-6-PD缺乏症	妊娠状态##蚕豆病
口咽部消化道化学灼伤	消化道化学伤
双肺尖少许肺纤维化放疗后改变	放射治疗##肺纤维化
"右肺下叶小细胞肺癌 广泛期,食管胸中段癌食道溃疡狭窄,咳嗽 便秘化疗呕吐,食欲减退抗过敏,水肿利尿"	右肺下叶恶性肿瘤##小细胞癌##食管胸中段恶性肿瘤##癌##食管溃疡##食管狭窄##咳嗽##便秘##化疗药物反应##呕吐##食欲不振##水肿
右附睾头囊肿	附睾囊肿
左侧DDH继发OA双膝OA	先天性髋关节发育不良##双侧膝关节骨性关节病##髋骨关节病
骨盆及C6放疗后	放射治疗
Ebstein畸形	埃布斯坦畸形[Ebstein畸形]
停经22周B超提示胎儿右侧肺内异常回声	孕22周
肾错构瘤右	肾错构瘤
周围神经病变化手脚麻木	多发性神经病[多发性神经炎/周围神经炎]
升结肠1符合管状腺瘤升结肠2管状腺瘤	升结肠良性肿瘤##管状腺瘤
乙状结肠管状腺瘤伴低度上皮内瘤变	管状腺瘤##乙状结肠良性肿瘤
右拇趾外伤拔甲术后	足趾损伤
扁平骨盆致梗阻性分娩	扁平骨盆引起的梗阻性分娩
左尺神经挫伤	身体未特指部位的神经损伤
肾癌术后晚期 严重肝损伤	肾恶性肿瘤##肾术后##肝损害##癌
意识障碍原因待查低血糖发作脑缺血发作	意识障碍##低血糖症##脑血管供血不足
支气管肺炎(恢复期)，感染性腹泻腹泻病	支气管肺炎[小叶性肺炎]##恢复期##感染性腹泻
十二指肠粘膜下病变淋巴管扩张可能	肠淋巴管扩张
慢性粒细胞白血病不典型	慢性粒细胞性白血病##慢性粒细胞白血病
Ⅰ度房室传到阻滞变异型院时情况	一度房室阻滞
右髌骨骨挫伤	髌骨骨折
双下肢皮肤搔痒症	瘙痒症
甲状腺囊肿切除术后	甲状腺囊肿##甲状腺术后
结缔组织增生性黑素瘤待排	恶性黑色素瘤
出血性血小板增多症	原发性血小板增多症
颈椎、椎间盘退行性病变	颈椎间盘变性
左腰不适；左肾结石；胆囊炎	肾结石##胆囊炎
粟粒疹	痱子
"左肾集合管癌,化疗后白细胞减少,发热,上呼吸道感染,咳嗽 痰中带血,化疗后血小板低"	肾恶性肿瘤##集合管癌##化疗药物反应##白细胞减少##发热##上呼吸道感染##咳嗽##化疗药物反应##药物性血小板减少
口干、右上下肢不适待查	口干
大腿神经纤维瘤	神经纤维瘤病[VonRecklinghausen病]
胆囊及胆总管结石	胆囊结石##胆总管结石
早产胎膜早破	胎膜早破
肾上腺皮质发育不全	肾上腺发育不良
妊娠伴有1型糖尿病	妊娠合并糖尿病##1型糖尿病
弥漫性大B细胞癌	弥漫大B细胞淋巴瘤
大颗粒T淋巴细胞白血病	淋巴细胞白血病
颈动脉粥样硬化并斑块形成	颈动脉粥样硬化
左侧股骨头坏死	股骨头缺血性坏死
食道-胃底静脉重度曲张	胃底静脉曲张##食管静脉曲张
"右上臂麻木,颈椎片显示颈椎病"	颈椎病
多脏器功能不全肝肾凝血功能障碍	多脏器功能障碍综合征[MODS]##肝功能异常##凝血功能障碍##肾功能异常
胎儿异常两胎儿胎儿部分肠管扩张	多胎妊娠
右下肺送检组织支气管囊性扩张倾向支	支气管扩张症
双侧侧脑室前角白质轻度变性7左房增大	脑白质病
肝MT5次介入术后1月余	肝恶性肿瘤##肝术后
高血压病(左房大)	高血压##左房扩大
车祸机动车翻车致伤面部及腿部	"面部损伤##下肢未特指的损伤,水平未特指"
小儿原发性肾病综	肾病综合征
主观性头昏重度焦虑伴躯体化	头晕##焦虑状态
躯体化功能障碍周围神经病变	多发性神经病[多发性神经炎/周围神经炎]##躯体性机能障碍
肺瘢痕癌	肺恶性肿瘤##癌
周围神经病变保守治疗后	多发性神经病[多发性神经炎/周围神经炎]
"G1P0孕37+2周临产LOA,中度贫血"	孕37周##中度贫血
膝关节交锁待查	膝关节内部紊乱
多脏器功能障碍肝脏肺心脏肾凝血系统	多脏器功能障碍综合征[MODS]
左侧面部狗抓伤	面部开放性损伤##被狗抓伤
左尺侧副韧带止点撕脱性骨折	尺侧副韧带断裂
左回旋支闭塞多支轻-中度狭窄	冠状动脉狭窄##冠状动脉闭塞
头昏胀高TC	头晕##高胆固醇血症
胰后脾静脉海绵样变肠系膜上静脉海绵样变	脾血管瘤##肠系膜血管瘤##海绵状血管瘤
肾上腺皮质腺瘤	肾上腺皮质腺瘤##肾上腺良性肿瘤
移植肾积水	肾移植状态##肾积水
左室向心性肥厚左房增大	心室肥厚
面部双上肢皮肤抓伤	面部开放性损伤##上肢开放性损伤
筛上颌窦炎鼻息肉	筛窦炎##上颌窦炎##鼻息肉
咳嗽(感染后)	感染##咳嗽
前列腺特指疾病高PSA血症	PSA升高##前列腺其他特指的疾患
肛周湿疣	肛门生殖器疣
痛风别嘌醇过敏	痛风##激素药物反应
双侧颈内动脉内膜病变伴斑块形成	颈内动脉斑块
腘动脉动脉瘤	腘动脉瘤
